tier_order	evidence_tier	gene	target_axis	representative_agents	main_text_role	n_instrument	context	mr_or	mr_fdr	coloc_pp4	predicted_drug_effect	clinical_outcome	concordance	manuscript_interpretation	caveat	citation	url
1	strict_actionable_warning	CXCR2	CXCR2	navarixin; AZD5069; danirixin	Main text key warning	1	blood	0.753	1.2449691178185932e-07	0.951	harmful/ineffective	failed/no_efficacy	concordant	High-confidence protective expression signal predicts that CXCR2 antagonism is harmful or ineffective.	Clinical no-efficacy evidence is not a mature positive IBD endpoint; state as a genetic warning, not a completed IBD trial validation.	De Soyza et al. AZD5069 in bronchiectasis; ClinicalTrials.gov NCT03250689 danirixin COPD/influenza.	https://pubmed.ncbi.nlm.nih.gov/26341987/; https://clinicaltrials.gov/study/NCT03250689
2	directional_positive_control	TNFRSF1A	TNF/TNFRSF1A	infliximab; adalimumab; golimumab; certolizumab	Main text positive control	1	blood	1.163	0.039872958237267	0.18	beneficial	approved_effective	concordant	Anti-TNF direction agrees with known IBD efficacy, but the coloc result is below the strict threshold.	Use as a directional sanity check only; PP4 is 0.18.	Rutgeerts et al. Infliximab for induction and maintenance therapy for ulcerative colitis. N Engl J Med 2005.	https://www.naspghan.org/files/documents/pdfs/training/curriculum-resources/inflammatory%20bowel%20disease_zeusdeleted_145_09092015100906/ACT_1_and_2.pdf
3	downgraded_hint_supplementary	CCL8	CCL8	chemokine-axis inhibition	Supplementary cautionary signal	1	blood	2.349	0.0299483622168182	0.955	neutral/uncertain	untested	not_actionable	CCL8 has a coloc-positive single-lead signal and FinnGen support, but hardening weakens it.	Do not present as a co-equal causal target with CXCR2; multi-instrument, MVMR, and pQTL checks are not robust.	Local hardening outputs: ccl8_mvmr.tsv and pqtl_ccl8_v2.tsv.	results/tables/ccl8_mvmr.tsv; results/tables/pqtl_ccl8_v2.tsv
4	genetics_silent_approved_pathway	IL12B	IL12/23 p40	ustekinumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. UNITI/IM-UNITI Crohn's; Sands et al. UNIFI UC. N Engl J Med.	https://www.nejm.org/doi/full/10.1056/NEJMoa1602773; https://www.nejm.org/doi/full/10.1056/NEJMoa1900750
4	genetics_silent_approved_pathway	IL23A	IL23 p19	risankizumab; mirikizumab; guselkumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
4	genetics_silent_approved_pathway	IL23R	IL23 signaling	IL-23 pathway inhibitors	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
4	genetics_silent_approved_pathway	IL6R	IL6/IL6R	tocilizumab; PF-04236921; olamkicept	Limitations / context	1	blood_expanded	1.128338208066951	0.6568461700858613	2.2951561620183362e-07	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Ito et al. anti-IL6R in Crohn's disease; selective IBD therapy review summarizing ANDANTE and olamkicept.	https://pubmed.ncbi.nlm.nih.gov/15902961/; https://www.mdpi.com/2077-0383/11/4/994
4	genetics_silent_approved_pathway	ITGA4	alpha4beta7 integrin	vedolizumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. GEMINI 1 UC; Sandborn et al. GEMINI 2 CD. N Engl J Med 2013.	https://www.nejm.org/doi/full/10.1056/NEJMoa1215734; https://www.nejm.org/doi/full/10.1056/NEJMoa1215739
4	genetics_silent_approved_pathway	ITGB7	alpha4beta7 integrin	vedolizumab	Limitations / context	0					neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. GEMINI 1 UC; Sandborn et al. GEMINI 2 CD. N Engl J Med 2013.	https://www.nejm.org/doi/full/10.1056/NEJMoa1215734; https://www.nejm.org/doi/full/10.1056/NEJMoa1215739
4	genetics_silent_approved_pathway	JAK1	JAK/STAT	tofacitinib; upadacitinib; filgotinib	Limitations / context	1	blood_expanded	0.9053627764447604	0.7151907538234329	0.0049930395898559	neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. Upadacitinib induction CD (SELECTION). NEJM 2021; Danese et al. Upadacitinib maintenance UC. Gastroenterology 2022.	https://www.nejm.org/doi/full/10.1056/NEJMoa2008389
4	genetics_silent_approved_pathway	JAK3	JAK/STAT	tofacitinib; upadacitinib; filgotinib	Limitations / context	1	blood_expanded	0.8335243877168456	0.6953427355727724	0.0066946392035969	neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. Upadacitinib induction CD (SELECTION). NEJM 2021; Danese et al. Upadacitinib maintenance UC. Gastroenterology 2022.	https://www.nejm.org/doi/full/10.1056/NEJMoa2008389
4	genetics_silent_approved_pathway	MADCAM1	MAdCAM1	ontamalimab (SHP647)	Limitations / context	1	blood_expanded	1.1362800805820534	0.6953427355727724	1.821142950846319e-07	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Vermeire et al. SHP647 in CD. Gastroenterology 2018.	https://www.gastrojournal.org/article/S0016-5085(17)36718-3/fulltext
4	genetics_silent_approved_pathway	PDE4B	PDE4	apremilast	Limitations / context	1	blood_expanded	1.1263872474966854	0.6568461700858613	1.9561295426193118e-34	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Danese et al. Apremilast in mild-to-moderate UC. NEJM 2019.	https://www.nejm.org/doi/full/10.1056/NEJMoa1900767
4	genetics_silent_approved_pathway	PDE4D	PDE4	apremilast	Limitations / context	1	blood_expanded	1.0105400945594434	0.8602939424466918	0.0041431455728067	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Danese et al. Apremilast in mild-to-moderate UC. NEJM 2019.	https://www.nejm.org/doi/full/10.1056/NEJMoa1900767
4	genetics_silent_approved_pathway	S1PR1	S1PR1	ozanimod; etrasimod	Limitations / context	1	blood_expanded	0.8821847438535787	0.6568461700858613	0.0058408553907318	neutral/uncertain	approved_effective	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Sandborn et al. Ozanimod in UC. NEJM 2021; Loftus et al. Etrasimod in UC. Lancet 2023.	https://www.nejm.org/doi/full/10.1056/NEJMoa2033617
4	genetics_silent_approved_pathway	TNFSF15	TL1A/TNFSF15	tulisokibart (PRA023); TEV-48574	Limitations / context	0	blood_expanded				neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Feagan et al. Tulisokibart (PRA023) in IBD. NEJM 2024.	https://www.nejm.org/doi/full/10.1056/NEJMoa2308000
4	genetics_silent_approved_pathway	TYK2	TYK2	deucravacitinib	Limitations / context	1	blood_expanded	0.9398821201120804	0.6568461700858613	1.0349509404756879e-09	neutral/uncertain	mixed	not_actionable	The pathway is clinically validated; this local cis-expression analysis either has no usable target-gene instrument or the instrument fails to produce a colocalized causal signal.	Genetics is silent or uninformative, not discordant with clinical efficacy.	Armstrong et al. Deucravacitinib in psoriasis. NEJM 2023.	https://www.nejm.org/doi/full/10.1056/NEJMoa2212651
5	marker_bystander_no_tool	IL13RA2	IL13RA2	IL-13-axis targeting	Negative triage	0	blood				neutral/uncertain	untested	not_actionable	Strong refractory marker biology, but no usable causal expression instrument in tested contexts.	Absence of an instrument is not proof of no biology; it blocks an actionable MR claim.	Local module causal map multicontext.	results/tables/module_causal_map_multicontext.tsv
5	marker_bystander_no_tool	OSM	OSM/OSMR	anti-OSM / anti-OSMR investigational agents	Negative triage	0	blood				neutral/uncertain	untested	not_actionable	Strong refractory marker biology, but no usable causal expression instrument in tested contexts.	Absence of an instrument is not proof of no biology; it blocks an actionable MR claim.	West et al. Oncostatin M drives intestinal inflammation; ClinicalTrials.gov NCT04151225 anti-OSM Crohn's study.	https://pubmed.ncbi.nlm.nih.gov/28368383/; https://clinicaltrials.gov/study/NCT04151225
5	marker_bystander_no_tool	OSMR	OSM/OSMR	anti-OSM / anti-OSMR investigational agents	Negative triage	0	blood				neutral/uncertain	untested	not_actionable	Strong refractory marker biology, but no usable causal expression instrument in tested contexts.	Absence of an instrument is not proof of no biology; it blocks an actionable MR claim.	West et al. Oncostatin M drives intestinal inflammation; ClinicalTrials.gov NCT04151225 anti-OSM Crohn's study.	https://pubmed.ncbi.nlm.nih.gov/28368383/; https://clinicaltrials.gov/study/NCT04151225
6	tested_bystander_null	TREM1	TREM1	TREM1 modulation	Negative triage	1	neutrophil	1.0017189580519708	0.9176071990405236	0.0001206852563789	neutral/uncertain	untested	not_actionable	TREM1 has a strong neutrophil eQTL but near-null MR and no coloc support.	Useful as a concrete example that marker strength is not causality.	Local module causal map multicontext.	results/tables/module_causal_map_multicontext.tsv
7	ld_suspect_not_actionable	CCL2	CCL2/CCR2	CCR2/CCL2-axis inhibitors	Supplementary filtered signal	1	blood	1.615	0.1413440916427286	0.021	neutral/uncertain	untested	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Chemokines and chemokine receptors as therapeutic targets in IBD; CCR2/CCL2 IBD biology reports.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6104621/; https://pubmed.ncbi.nlm.nih.gov/15306587/
7	ld_suspect_not_actionable	ICAM1	ICAM1	alicaforsen / ISIS 2302	Supplementary filtered signal	1	blood	1.207	0.0935004840224112	0.0	neutral/uncertain	mixed	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Greuter et al. Alicaforsen in left-sided UC/proctitis. Dig Dis 2018; review references include negative Crohn and topical UC trials.	https://karger.com/ddi/article/36/2/123/94795/Alicaforsen-an-Antisense-Inhibitor-of
7	ld_suspect_not_actionable	IL1B	IL1B	canakinumab; anakinra	Supplementary filtered signal	1	blood	0.585	0.0437211189873223	0.071	neutral/uncertain	mixed	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Canakinumab for autoinflammatory very early onset IBD; reports of IBD following anti-IL-1 treatment.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9531243/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5348783/
7	ld_suspect_not_actionable	IL6	IL6/IL6R	tocilizumab; PF-04236921; olamkicept	Supplementary filtered signal	1	blood	0.708	0.1413440916427286	0.058	neutral/uncertain	mixed	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Ito et al. anti-IL6R in Crohn's disease; selective IBD therapy review summarizing ANDANTE and olamkicept.	https://pubmed.ncbi.nlm.nih.gov/15902961/; https://www.mdpi.com/2077-0383/11/4/994
7	ld_suspect_not_actionable	JAK2	JAK/STAT	tofacitinib; upadacitinib; filgotinib	Supplementary filtered signal	1	blood_expanded	0.6650891402971816	1.0685878977062094e-09	1.3363078231831138e-16	neutral/uncertain	approved_effective	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Feagan et al. Upadacitinib induction CD (SELECTION). NEJM 2021; Danese et al. Upadacitinib maintenance UC. Gastroenterology 2022.	https://www.nejm.org/doi/full/10.1056/NEJMoa2008389
7	ld_suspect_not_actionable	MMP9	MMP9	andecaliximab / GS-5745	Supplementary filtered signal	1	blood	0.788	0.0205095925099787	0.103	neutral/uncertain	failed/no_efficacy	not_actionable	MR direction exists but coloc fails, so the signal is treated as LD-suspect rather than actionable.	Do not use for drug prediction.	Andecaliximab induction therapy for ulcerative colitis. J Crohns Colitis 2018.	https://academic.oup.com/ecco-jcc/article/12/9/1021/4996034
8	unrateable_or_weak	IL13	IL13	IL-13 blockade	Supplementary context	0					neutral/uncertain	untested	not_actionable	No actionable local cis-MR prediction is available.	Mention only if needed for completeness.	No mature IBD efficacy source found in targeted search.	
8	unrateable_or_weak	TNF	TNF/TNFRSF1A	infliximab; adalimumab; golimumab; certolizumab	Supplementary context	1	blood	0.926	0.2212023257984345		neutral/uncertain	approved_effective	not_actionable	No actionable local cis-MR prediction is available.	Mention only if needed for completeness.	Rutgeerts et al. Infliximab for induction and maintenance therapy for ulcerative colitis. N Engl J Med 2005.	https://www.naspghan.org/files/documents/pdfs/training/curriculum-resources/inflammatory%20bowel%20disease_zeusdeleted_145_09092015100906/ACT_1_and_2.pdf
