target_axis	representative_agents	trial_or_program	actual_trial_outcome	outcome_note	citation	url
TNF/TNFRSF1A	infliximab; adalimumab; golimumab; certolizumab	ACT 1/2 and anti-TNF IBD programs	approved_effective	Anti-TNF therapy is approved and effective in IBD; ACT 1/2 showed infliximab clinical response superiority over placebo in UC.	Rutgeerts et al. Infliximab for induction and maintenance therapy for ulcerative colitis. N Engl J Med 2005.	https://www.naspghan.org/files/documents/pdfs/training/curriculum-resources/inflammatory%20bowel%20disease_zeusdeleted_145_09092015100906/ACT_1_and_2.pdf
CXCR2	navarixin; AZD5069; danirixin	CXCR2 antagonist inflammation programs	failed/no_efficacy	No mature IBD efficacy program was found; CXCR2 antagonists reduced neutrophil biomarkers in pulmonary/inflammatory settings without clear clinical benefit, matching a genetics warning against antagonism in IBD.	De Soyza et al. AZD5069 in bronchiectasis; ClinicalTrials.gov NCT03250689 danirixin COPD/influenza.	https://pubmed.ncbi.nlm.nih.gov/26341987/; https://clinicaltrials.gov/study/NCT03250689
MMP9	andecaliximab / GS-5745	phase 2/3 UC; phase 2 CD	failed/no_efficacy	UC induction trial met futility criteria; neither every-2-week nor weekly dosing improved remission, response, endoscopic response, or histologic healing versus placebo.	Andecaliximab induction therapy for ulcerative colitis. J Crohns Colitis 2018.	https://academic.oup.com/ecco-jcc/article/12/9/1021/4996034
ICAM1	alicaforsen / ISIS 2302	Crohn systemic antisense; topical UC/proctitis/pouchitis	mixed	Systemic Crohn studies were largely negative; topical enema studies/case series show inconsistent but sometimes durable UC/proctitis/pouchitis benefit.	Greuter et al. Alicaforsen in left-sided UC/proctitis. Dig Dis 2018; review references include negative Crohn and topical UC trials.	https://karger.com/ddi/article/36/2/123/94795/Alicaforsen-an-Antisense-Inhibitor-of
IL1B	canakinumab; anakinra	IL-1 blockade reports in VEO/autoinflammatory IBD; safety reports	mixed	Not an approved conventional IBD mechanism; reports suggest benefit in autoinflammatory/VEO-IBD subsets, while de-novo IBD has been reported during IL-1 inhibitor therapy.	Canakinumab for autoinflammatory very early onset IBD; reports of IBD following anti-IL-1 treatment.	https://pmc.ncbi.nlm.nih.gov/articles/PMC9531243/; https://pmc.ncbi.nlm.nih.gov/articles/PMC5348783/
IL6/IL6R	tocilizumab; PF-04236921; olamkicept	anti-IL6R exploratory CD; ANDANTE; IL-6 trans-signaling programs	mixed	Exploratory anti-IL6R and anti-IL6 programs showed efficacy signals but notable safety concerns including GI perforation/suppuration; not approved for IBD.	Ito et al. anti-IL6R in Crohn's disease; selective IBD therapy review summarizing ANDANTE and olamkicept.	https://pubmed.ncbi.nlm.nih.gov/15902961/; https://www.mdpi.com/2077-0383/11/4/994
CCL2/CCR2	CCR2/CCL2-axis inhibitors	IBD target biology; no clear IBD efficacy trial located	untested	CCL2/CCR2 is biologically implicated in IBD monocyte recruitment, but no mature IBD inhibitor efficacy outcome was identified in the curated search.	Chemokines and chemokine receptors as therapeutic targets in IBD; CCR2/CCL2 IBD biology reports.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6104621/; https://pubmed.ncbi.nlm.nih.gov/15306587/
OSM/OSMR	anti-OSM / anti-OSMR investigational agents	GSK2330811 anti-OSM Crohn's trial; biomarker programs	untested	OSM is a strong refractory biomarker and target hypothesis; a Crohn's anti-OSM trial exists, but no mature efficacy result was found locally.	West et al. Oncostatin M drives intestinal inflammation; ClinicalTrials.gov NCT04151225 anti-OSM Crohn's study.	https://pubmed.ncbi.nlm.nih.gov/28368383/; https://clinicaltrials.gov/study/NCT04151225
CCL8	chemokine-axis inhibition	no specific IBD inhibitor program located	untested	No specific IBD therapeutic outcome for direct CCL8 inhibition was identified; genetic evidence was downgraded after sensitivity/MVMR/pQTL checks.	Local hardening outputs: ccl8_mvmr.tsv and pqtl_ccl8_v2.tsv.	results/tables/ccl8_mvmr.tsv; results/tables/pqtl_ccl8_v2.tsv
TREM1	TREM1 modulation	IBD target biology; no efficacy program located	untested	No mature IBD therapeutic outcome identified; local genetics classifies TREM1 as a non-causal bystander despite neutrophil eQTL.	Local module causal map multicontext.	results/tables/module_causal_map_multicontext.tsv
IL13RA2	IL-13-axis targeting	IBD target biology; no efficacy program located	untested	No mature IBD therapeutic outcome identified; local genetics has no valid causal instrument.	Local module causal map multicontext.	results/tables/module_causal_map_multicontext.tsv
alpha4beta7 integrin	vedolizumab	GEMINI 1/2	approved_effective	Vedolizumab is approved for UC/CD and was more effective than placebo in GEMINI trials.	Feagan et al. GEMINI 1 UC; Sandborn et al. GEMINI 2 CD. N Engl J Med 2013.	https://www.nejm.org/doi/full/10.1056/NEJMoa1215734; https://www.nejm.org/doi/full/10.1056/NEJMoa1215739
IL12/23 p40	ustekinumab	UNITI / IM-UNITI / UNIFI	approved_effective	Ustekinumab is approved for CD/UC; phase 3 programs showed induction and maintenance benefit versus placebo.	Feagan et al. UNITI/IM-UNITI Crohn's; Sands et al. UNIFI UC. N Engl J Med.	https://www.nejm.org/doi/full/10.1056/NEJMoa1602773; https://www.nejm.org/doi/full/10.1056/NEJMoa1900750
IL23 p19	risankizumab; mirikizumab; guselkumab	IL-23 p19 IBD programs	approved_effective	IL-23 p19 inhibitors are approved/effective in IBD, but this local refractory-module cis-MR run lacks usable target-gene instruments.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
IL23 signaling	IL-23 pathway inhibitors	IL-23 IBD programs	approved_effective	Approved IL-23 pathway therapies validate the pathway clinically, but IL23R itself lacks a local cis-expression instrument in this analysis.	Review of IL-23 inhibitors in IBD.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11920014/
IL13	IL-13 blockade	no approved IBD anti-IL13 program	untested	No mature IBD efficacy outcome for IL-13 blockade was curated here.	No mature IBD efficacy source found in targeted search.	
JAK/STAT	tofacitinib; upadacitinib; filgotinib	OCTAVE (UC); U-ACHIEVE/U-ACCOMPLISH (UC/CD); SELECTION (CD)	approved_effective	Multiple JAK inhibitors approved for UC/CD. Tofacitinib (pan-JAK) approved UC; upadacitinib (JAK1-selective) approved UC and CD; filgotinib (JAK1-selective) approved CD in EU.	Feagan et al. Upadacitinib induction CD (SELECTION). NEJM 2021; Danese et al. Upadacitinib maintenance UC. Gastroenterology 2022.	https://www.nejm.org/doi/full/10.1056/NEJMoa2008389
TYK2	deucravacitinib	POETYK PSO-1/2 (psoriasis, approved); IBD phase 2 ongoing	mixed	TYK2 inhibition approved in plaque psoriasis (deucravacitinib POETYK). IBD phase 2 data emerging; no mature IBD approval yet.	Armstrong et al. Deucravacitinib in psoriasis. NEJM 2023.	https://www.nejm.org/doi/full/10.1056/NEJMoa2212651
S1PR1	ozanimod; etrasimod	TRUE NORTH (UC); ELEVATE UC 12/52 (UC)	approved_effective	Ozanimod (TRUE NORTH) and etrasimod (ELEVATE UC) are approved for UC. S1PR1 modulation for CD not yet approved.	Sandborn et al. Ozanimod in UC. NEJM 2021; Loftus et al. Etrasimod in UC. Lancet 2023.	https://www.nejm.org/doi/full/10.1056/NEJMoa2033617
MAdCAM1	ontamalimab (SHP647)	TURANDOT (UC); OPERA (CD phase 2)	mixed	Ontamalimab UC phase 2/3 showed efficacy signals; CD OPERA phase 2 met primary endpoint but the program is not yet approved.	Vermeire et al. SHP647 in CD. Gastroenterology 2018.	https://www.gastrojournal.org/article/S0016-5085(17)36718-3/fulltext
PDE4	apremilast	ADVANCE (UC phase 2); limited CD data	mixed	Apremilast showed endoscopic improvement signals in mild-to-moderate UC (ADVANCE) but is not an approved IBD therapy. PDE4 inhibition not validated for IBD at the clinical level.	Danese et al. Apremilast in mild-to-moderate UC. NEJM 2019.	https://www.nejm.org/doi/full/10.1056/NEJMoa1900767
TL1A/TNFSF15	tulisokibart (PRA023); TEV-48574	ARTEMIS-UC (pivotal phase 3); APOLLO-CD (pivotal phase 3)	mixed	Anti-TL1A is in pivotal phase 3 IBD trials. Phase 2 tulisokibart data showed promising UC/CD remission rates. Not yet approved; program highly active as of 2026.	Feagan et al. Tulisokibart (PRA023) in IBD. NEJM 2024.	https://www.nejm.org/doi/full/10.1056/NEJMoa2308000
